"Certificate ID","Certificate Link","Repository","Repository Link","Report","Title","Paper reference","Check date"
"2025-005","https://codecheck.org.uk/register/certs/2025-005/","zenodo::15323262","https://zenodo.org/records/15323262","https://doi.org/10.5281/zenodo.15323262","Verification Report of Zhao et al. (2023) ‘Effect of Acceptance and Commitment Therapy for depressive disorders: a meta-analysis’","https://doi.org/10.71240/lcyc.052239","2025-05-15"
"2025-028","https://codecheck.org.uk/register/certs/2025-028/","github::codecheckers/surv-tcav-pbc","https://github.com/codecheckers/surv-tcav-pbc","https://doi.org/10.5281/zenodo.17533508","Clinically Interpretable Survival Prediction in Primary Biliary Cholangitis with TreeSHAP and Gradient-Boosted Model","https://doi.org/10.71240/lcyc.66O7260","2025-11-04"
