"Certificate","Repository","Venue","Type"
"2024-004","github::codecheckers/scope","AUMC","institution"
"2024-024","github::codecheckers/iteval-sims","AUMC","institution"
"2025-025","github::codecheckers/absolution_codecheck","AUMC","institution"
