"Certificate ID","Certificate Link","Repository","Repository Link","Report","Title","Paper reference","Check date"
"2020-016","https://codecheck.org.uk/register/certs/2020-016/","github::codecheckers/OpeningPractice","https://github.com/codecheckers/OpeningPractice","https://doi.org/10.5281/zenodo.3981253","Opening practice: supporting reproducibility and critical spatial data science","https://doi.org/10.1007/s10109-020-00334-2","2020-06-02"
"2020-017","https://codecheck.org.uk/register/certs/2020-017/","github::codecheckers/JGSY-D-19-00087","https://github.com/codecheckers/JGSY-D-19-00087","https://doi.org/10.5281/zenodo.4003848","Progress in the R ecosystem for representing and handling spatial data","https://doi.org/10.1007/s10109-020-00336-0","2020-08-27"
