"Certificate ID","Certificate Link","Repository","Repository Link","Report","Title","Paper reference","Check date"
"2020-001","https://codecheck.org.uk/register/certs/2020-001/","github::codecheckers/Piccolo-2020","https://github.com/codecheckers/Piccolo-2020","http://doi.org/10.5281/zenodo.3674056","ShinyLearner: A containerized benchmarking tool for machine-learning classification of tabular data.","https://doi.org/10.1093/gigascience/giaa026","2019-02-14"
"2020-024","https://codecheck.org.uk/register/certs/2020-024/","github::codecheckers/driftage","https://github.com/codecheckers/driftage","https://doi.org/10.5281/zenodo.4964880","Driftage: a multi-agent system framework for concept drift detection","https://doi.org/10.1093/gigascience/giab030","2020-12-07"
