"library","version","license","license_url","description","date_configured"
"Bootstrap","5.3.3","MIT","https://github.com/twbs/bootstrap/blob/v5.3.3/LICENSE","Front-end framework for web development",2025-11-13
"Font Awesome","4.7.0","OFL-1.1 (fonts), MIT (CSS)","https://fontawesome.com/license/free","Icon toolkit",2025-11-13
"Academicons","1.9.4","OFL-1.1 (fonts), MIT (CSS)","https://github.com/jpswalsh/academicons/blob/master/LICENSE","Academic icons for LaTeX, XeLaTeX, web, and more",2025-11-13
