"Repository","Repository Link","Report","Title","Paper reference","OpenAlex","Venue","Type"
"github::codecheckers/sddtmpc","https://github.com/codecheckers/sddtmpc","https://doi.org/10.5281/zenodo.11403956","State-Dependent Dynamic Tube MPC: A Novel Tube MPC Method with a Fuzzy Model of Disturbances","https://arxiv.org/pdf/2310.19997",NA,"codecheck NL","community"
"osf::spxt5","https://osf.io/spxt5","https://doi.org/10.17605/OSF.IO/spxt5","CY-Bench : A comprehensive benchmark dataset for sub-national crop yield forecasting","https://www.overleaf.com/read/znytpcwfjrrf#a4ca1f",NA,"codecheck NL","community"
"osf::mwbuq","https://osf.io/mwbuq","https://doi.org/10.17605/OSF.IO/mwbuq","Landscape Character Assessment - Nigeria","https://doi.org/10.17605/OSF.IO/E2K73",NA,"codecheck NL","community"
"github::codecheckers/Inter_Noise2024_Codes_Acoustics_Diffusion_Equation","https://github.com/codecheckers/Inter_Noise2024_Codes_Acoustics_Diffusion_Equation","https://doi.org/10.5281/zenodo.14211707","Determination of a diffusion coefficient function for long rooms using a least square optimization approach","https://pure.tue.nl/ws/portalfiles/portal/339520759/IN_2024_3491.pdf",NA,"codecheck NL","community"
"github::codecheckers/wearable-hrv","https://github.com/codecheckers/wearable-hrv","https://doi.org/10.5281/zenodo.14279041","Quality in Question: Assessing the accuracy of four heart rate wearables and the implications for psychophysiological research.","https://doi.org/10.31219/osf.io/wkzsn",NA,"codecheck NL","community"
"github::codecheckers/EvalSubtitle","https://github.com/codecheckers/EvalSubtitle","https://doi.org/10.5281/zenodo.15173758","Evaluating Subtitle Segmentation for End-to-end Generation systems","https://aclanthology.org/2022.lrec-1.328/",NA,"codecheck NL","community"
