"Certificate","Repository","Venue","Type"
"2020-019","osf::5SVMT","AGILEGIS","conference"
"2022-003","osf::JDTN3","AGILEGIS","conference"
"2022-016","osf::DJFC2","AGILEGIS","conference"
"2024-006","osf::ymc3t","AGILEGIS","conference"
"2024-007","osf::gvpd9","AGILEGIS","conference"
"2025-014","osf::st98a","AGILEGIS","conference"
