"Certificate","Repository","Venue","Type"
"2022-002","osf::Z7P8K","AGILEGIS","conference"
"2022-012","osf::R6PSQ","AGILEGIS","conference"
"2023-002","osf::rbgvk","AGILEGIS","conference"
"2023-008","osf::aqgxr","AGILEGIS","conference"
"2024-010","osf::nbk57","AGILEGIS","conference"
"2024-011","osf::fmgb4","AGILEGIS","conference"
