"Repository","Repository Link","Report","Title","Paper reference","OpenAlex","Venue","Type"
"github::reproducible-agile/reviews-2026|reports/007","https://github.com/reproducible-agile/reviews-2026|reports/007","https://doi.org/10.17605/OSF.IO/R2674","Inclusive Multimodal Routing: How Behavioral Constraints Shape Accessibility","https://doi.org/10.5194/agile-giss-7-3-2026","https://openalex.org/W7164176972","AGILEGIS","conference"
"github::reproducible-agile/reviews-2026|reports/033","https://github.com/reproducible-agile/reviews-2026|reports/033","https://doi.org/10.17605/OSF.IO/8C3VF","OpenStreetMap Suitability Analysis for Wheelchair Routing","https://doi.org/10.5194/agile-giss-7-12-2026","https://openalex.org/W7164128034","AGILEGIS","conference"
