"Certificate ID","Certificate Link","Repository","Repository Link","Report","Title","Paper reference","OpenAlex","Check date"
"2025-027","https://codecheck.org.uk/register/certs/2025-027/","github::codecheckers/zonebuilder","https://github.com/codecheckers/zonebuilder","https://doi.org/10.5281/zenodo.17059066","ClockBoard: A zoning system for urban analysis","https://doi.org/10.5311/JOSIS.2022.24.172","https://openalex.org/W4288754796","2025-09-04"
"2026-018","https://codecheck.org.uk/register/certs/2026-018/","github::codecheckers/reproducible-research-giscience-longitudinal-study","https://github.com/codecheckers/reproducible-research-giscience-longitudinal-study","https://doi.org/10.5281/zenodo.21807544","Improving reproducibility of GIScience publications through novel reproducibility guidelines and revised review procedures","https://doi.org/10.5311/JOSIS.2026.32.591","https://openalex.org/W7166859420","2026-07-17"
