"Certificate","Repository","Type","Venue","Issue"
"2020-001","github::codecheckers/Piccolo-2020","journal","GigaScience",NA
"2020-016","github::codecheckers/OpeningPractice","journal","J Geogr Syst",15
"2020-017","github::codecheckers/JGSY-D-19-00087","journal","J Geogr Syst",24
"2020-024","github::codecheckers/driftage","journal","GigaScience",31
"2020-025","github::codecheckers/LICD_article","journal","J Archaeol Sci",29
"2022-018","gitlab::cdchck/community-codechecks/2022-svaRetro-svaNUMT","journal","GigaByte",44
