"Repository","Repository Link","Report","Title","Paper reference","OpenAlex","Venue","Type"
"osf::GT5BW","https://osf.io/GT5BW","https://doi.org/10.17605/OSF.IO/GT5BW","An Efficient System for Automatic Map Storytelling: A Case Study on Historical Maps","https://doi.org/10.5194/agile-giss-6-5-2025","https://openalex.org/W4411153502","AGILEGIS","conference"
"osf::956a8","https://osf.io/956a8","https://doi.org/10.17605/OSF.IO/956a8","Mining Meaningful Facets in Spatial Information Retrieval with Spatial Relevance Feedback","https://doi.org/10.5194/agile-giss-6-12-2025","https://openalex.org/W4411152705","AGILEGIS","conference"
"osf::zpurt","https://osf.io/zpurt","https://doi.org/10.17605/OSF.IO/ZPURT","Towards Fine-grained Relevance Scoring of Social Media Posts in Disaster Response: A Decay-based Regression Approach","https://doi.org/10.5194/agile-giss-7-4-2026","https://openalex.org/W7164155701","AGILEGIS","conference"
"osf::bv4mk","https://osf.io/bv4mk","https://doi.org/10.17605/OSF.IO/BV4MK","Spatio-Temporal Knowledge Graph from Unstructured Texts: A Multi-Scale Approach for Food Security Monitoring","https://doi.org/10.5194/agile-giss-7-16-2026","https://openalex.org/W7164184955","AGILEGIS","conference"
